iter	RMSE
349	47.02055353
350	46.99251982
351	46.93071383
352	46.89666728
353	46.86721456
354	46.84120545
355	46.80868545
356	46.79040971
357	46.75958944
358	46.72607318
359	46.69918644
360	46.67054432
361	46.61950014
362	46.5836235
363	46.55730833
364	46.5228184
365	46.50048346
366	46.46803652
367	46.44906506
368	46.4060645
369	46.37818229
370	46.34470345
371	46.32425436
372	46.28644736
373	46.26220737
374	46.23005358
375	46.1732893
376	46.13871661
377	46.09583493
378	46.05404379
379	46.00816862
380	45.96437399
381	45.90999894
382	45.86570474
383	45.81051301
384	45.7814743
385	45.76617416
386	45.72376058
387	45.67197465
388	45.64820669
389	45.61311255
390	45.57829071
391	45.5525934
392	45.52668775
393	45.47730707
394	45.4506113
395	45.40951649
396	45.38530952
397	45.36490703
398	45.3298095
399	45.29635009
400	45.25911187
401	45.22763788
402	45.2051467
403	45.16688738
404	45.13465456
405	45.10420086
406	45.09738765
407	45.07175355
408	45.04432862
409	44.97767994
410	44.95265998
411	44.90694315
412	44.87913034
413	44.87401071
414	44.84877258
415	44.80860245
416	44.79036625
417	44.74713893
418	44.71788406
419	44.68325518
420	44.65339201
421	44.60961492
422	44.56711205
423	44.5417591
424	44.5095817
425	44.48322578
426	44.45319033
427	44.43534831
428	44.41696649
429	44.38573332
430	44.37133534
431	44.33955226
432	44.31897317
433	44.29125054
434	44.24274579
435	44.18360192
436	44.14779642
437	44.12879422
438	44.08570225
439	44.06268556
440	44.02947148
441	44.00322808
442	43.98019837
443	43.94710127
444	43.94098731
445	43.9233464
446	43.88829639
447	43.86146868
448	43.83972544
449	43.82265414
450	43.79355257
451	43.75556513
452	43.73279345
453	43.71535447
454	43.68229832
455	43.66359221
456	43.63785399
457	43.61724863
458	43.61265418
459	43.59455356
460	43.57123501
461	43.5513675
462	43.52731089
463	43.51565662
464	43.4943862
465	43.46700498
466	43.43890755
467	43.41081788
468	43.37270226
469	43.35224799
470	43.32792862
471	43.31076307
472	43.27335778
473	43.25218436
474	43.22241705
475	43.19609849
476	43.16302145
477	43.14676162
478	43.12970186
479	43.0885445
480	43.06385795
481	43.04230056
482	43.00592983
483	42.98225455
484	42.96162816
485	42.94665
486	42.92092999
487	42.90089671
488	42.87712967
489	42.84835542
490	42.81902884
491	42.8007622
492	42.79074382
493	42.75986945
494	42.74073482
495	42.70489292
496	42.68828073
497	42.66666034
498	42.62731905
499	42.60606895
500	42.56742781
501	42.55032907
502	42.529554
503	42.49645326
504	42.45865144
505	42.44523348
506	42.4413024
507	42.41719513
508	42.39691429
509	42.36444456
510	42.35773282
511	42.33172384
512	42.29697413
513	42.25448667
514	42.2253661
515	42.20947117
516	42.19633007
517	42.19249966
518	42.15404904
519	42.1354725
520	42.10181634
521	42.08338528
522	42.04293871
523	42.02793023
524	42.00743467
525	41.97743938
526	41.95586288
527	41.93323556
528	41.91003394
529	41.88500122
530	41.862855
531	41.84258614
532	41.81954748
533	41.79752041
534	41.77716264
535	41.73652957
536	41.71300515
537	41.69403985
538	41.66604142
539	41.64662087
540	41.61759348
541	41.57262156
542	41.53530943
543	41.48965369
544	41.46702708
545	41.44579181
546	41.41410065
547	41.40238194
548	41.37578946
549	41.35164775
550	41.32331741
551	41.30284721
552	41.28037635
553	41.24837107
554	41.22529118
555	41.20954898
556	41.19738584
557	41.16765234
558	41.13068899
559	41.10270022
560	41.07846869
561	41.04840278
562	41.03087177
563	40.99895298
564	40.98052096
565	40.96197866
566	40.93482499
567	40.91225185
568	40.88585143
569	40.85893912
570	40.82275831
571	40.8118724
572	40.78726492
573	40.74591503
574	40.71868108
575	40.68767731
576	40.65033055
577	40.60747847
578	40.57503505
579	40.54073871
580	40.48796908
581	40.46624495
582	40.44555176
583	40.42283905
584	40.40786105
585	40.37581183
586	40.34296387
587	40.31610342
588	40.28912859
589	40.27965413
590	40.25586234
591	40.23098604
592	40.19188676
593	40.15861367
594	40.12832135
595	40.09740589
596	40.06738482
597	40.05823948
598	40.03344316
599	40.01493345
600	39.9725748
601	39.96078566
602	39.93781352
603	39.92266389
604	39.90312424
605	39.87158856
606	39.86033019
607	39.84655229
608	39.81557551
609	39.80303793
610	39.78304873
611	39.75669451
612	39.72596473
613	39.70329245
614	39.68671937
615	39.66920894
616	39.63617704
617	39.61669639
618	39.58770658
619	39.56726549
620	39.53823626
621	39.51915875
622	39.49583768
